abbreviation, officialName, equation, subSystem, proteinClass, proteinGeneAssociation, geneAssociation, proteinAssociation
"GTHPm","glutathione peroxidase, mitochondria","[m] : (2) gthrd + h2o2 <==> gthox + (2) h2o","Glutamate metabolism","1.11.1.9","Grx5-m (YPL059W) ","YPL059W","Grx5-m"
"GTHRDabcv","Reduced glutathione via ABC system (vacuolar)","atp[v] + gthrd[c] + h2o[v] --> adp[v] + gthrd[v] + h[v] + pi[v]","Transport, Vacuolar","","Ycf1-v (YDR135C) ","YDR135C","Ycf1-v"
"GTHRDt2","glutathione transport","gthrd[e] --> gthrd[c]","Transport, Extracellular","","Opt1 (YJL212C) ","YJL212C","Opt1"
"GTHS","glutathione synthetase","[c] : atp + glucys + gly --> adp + gthrd + h + pi","Other Amino Acid Metabolism","6.3.2.3","Gsh2 (YOL049W) ","YOL049W","Gsh2"
"GTMLT","g-glutamyltransferase","[c] : ala-L + gthrd --> cgly + gluala","Other Amino Acid Metabolism","2.3.2.2","Ecm38 (YLR299W) ","YLR299W","Ecm38"
"GTPCI","GTP cyclohydrolase I","[c] : gtp + h2o --> ahdt + for + h","Folate Metabolism","3.5.4.16","Fol2 (YGR267C) ","YGR267C","Fol2"
"GTPCII","GTP cyclohydrolase II","[c] : gtp + (3) h2o --> 25dhpp + for + (2) h + ppi","Riboflavin Metabolism","3.5.4.25","Rib1 (YBL033C) ","YBL033C","Rib1"
"GTPH1","GTP diphosphohydrolase","[c] : gtp + (2) h2o --> gmp + (2) h + (2) pi","Nucleotide Salvage Pathway","3.6.1.5","Ynd1 (YER005W) ","YER005W","Ynd1"
"GTPt2m","GTP/GDP translocase, mitochondrial (electroneutral)","gdp[m] + gtp[c] + h[c] --> gdp[c] + gtp[m] + h[m]","Transport, Mitochondrial","","Yhm1-m (YDL198C) ","YDL198C","Yhm1-m"
"GUAD","guanine deaminase","[c] : gua + h + h2o --> nh4 + xan","Nucleotide Salvage Pathway","3.5.4.3","Gud1 (YDL238C) ","YDL238C","Gud1"
"GUAPRT","guanine phosphoribosyltransferase","[c] : gua + prpp --> gmp + ppi","Nucleotide Salvage Pathway","2.4.2.8","Hpt1 (YDR399W) ","YDR399W","Hpt1"
"GUAt2r","guanine reversible transport via proton symport","gua[e] + h[e] <==> gua[c] + h[c]","Transport, Extracellular","","( Fcy2 (YER056C)  ) or ( Fcy21 (YER060W)  ) or ( Fcy22 (YER060W-A)  ) or ( Fcy23 (YGL186C)  )","( YER056C  or  YER060W  or  YER060W-A  or  YGL186C )","( Fcy2 ) or ( Fcy21 ) or ( Fcy22 ) or ( Fcy23 )"
"GUAtm","guanine mitochondrial transport via diffusion","gua[c] <==> gua[m]","Transport, Mitochondrial","","","",""
"H2O2tn","hydrogen peroxide nuclear transport","h2o2[c] <==> h2o2[n]","Transport, Nuclear","","","",""
"H2Ot","H2O transport via diffusion","h2o[e] <==> h2o[c]","Transport, Extracellular","","( Aqy1 (YPR192W)  ) or ( Aqy2 (YLL052C)  )","( YPR192W  or  YLL052C )","( Aqy1 ) or ( Aqy2 )"
"H2Oter","H2O endoplasmic reticulum transport","h2o[c] <==> h2o[r]","Transport, Endoplasmic Reticular","","","",""
"H2Otm","H2O transport, mitochondrial","h2o[c] <==> h2o[m]","Transport, Mitochondrial","","","",""
"H2Otn","H2O transport, nuclear","h2o[n] <==> h2o[c]","Transport, Nuclear","","","",""
"H2Otp","H2O transport, peroxisomal","h2o[c] <==> h2o[x]","Transport, Peroxisomal","","","",""
"H2Otv","H2O transport, vacuolar","h2o[c] <==> h2o[v]","Transport, Vacuolar","","","",""
"HACD10p","3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosyl-CoA), peroxisomal","[x] : 3hxccoa + nad <==> 3ohxccoa + h + nadh","Fatty Acid Degradation","1.1.1.35","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"HACD4p","3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA), peroxisomal","[x] : 3odcoa + h + nadh <==> 3hdcoa + nad","Fatty Acid Degradation","1.1.1.35","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"HACD5p","3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA), peroxisomal","[x] : 3oddcoa + h + nadh <==> 3hddcoa + nad","Fatty Acid Degradation","1.1.1.35","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"HACD6p","3-Hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA), peroxisomal","[x] : 3otdcoa + h + nadh <==> 3htdcoa + nad","Fatty Acid Degradation","1.1.1.35","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"HACD7p","3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA), peroxisomal","[x] : 3ohdcoa + h + nadh <==> 3hhdcoa + nad","Fatty Acid Degradation","1.1.1.35","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"HACD8p","3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal","[x] : 3ohodcoa + h + nadh <==> 3hodcoa + nad","Fatty Acid Degradation","1.1.1.35","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"HACNHm","homoacontinate hydratase, mitochondrial","[m] : b124tc + h2o <==> hicit","Threonine and Lysine Metabolism","4.2.1.36","Lys4-m (YDR234W) ","YDR234W","Lys4-m"
"HBZOPT6m","Hydroxybenzoate octaprenyltransferase, mitochondrial","[m] : 4hbz + hexdp --> 3ophb_5 + ppi","Quinone Biosynthesis","","Coq2-m (YNR041C) ","YNR041C","Coq2-m"
"HCITSm","homocitrate synthase","[m] : accoa + akg + h2o --> coa + h + hcit","Pyruvate Metabolism","4.1.3.21","","",""
"HCITSn","homocitrate synthase","[n] : accoa + akg + h2o --> coa + h + hcit","Pyruvate Metabolism","4.1.3.21","( Lys21-n (YDL131W)  ) or ( Lys20-n (YDL182W)  )","( YDL131W  or  YDL182W )","( Lys21-n ) or ( Lys20-n )"
"HCO3E","HCO3 equilibration reaction","[c] : co2 + h2o <==> h + hco3","Other","4.2.1.1","","",""
"HCO3Em","HCO3 equilibration reaction","[m] : co2 + h2o <==> h + hco3","Other","","","",""
"HCO3En","HCO3 equilibrium reaction, nuclear","[n] : co2 + h2o <==> h + hco3","Other","","","",""
"HCO3tn","bicarbonate nuclear transport via diffusion","hco3[c] <==> hco3[n]","Transport, Nuclear","","","",""
"HCYSMT","homocysteine S-methyltransferase","[c] : amet + hcys-L --> ahcys + h + met-L","Alanine and Aspartate Metabolism","2.1.1.10","( Sam4 (YPL273W)  ) or ( Mht1 (YLL062C)  )","( YPL273W  or  YLL062C )","( Sam4 ) or ( Mht1 )"
"HCYSt2p","Homocysteine peroxisomal transport via proton symport","h[c] + hcys-L[c] <==> h[x] + hcys-L[x]","Transport, Peroxisomal","","","",""
"HDCAt","Hexadecanoate (n-C16:0) transport in via uniport","hdca[e] --> hdca[c]","Transport, Extracellular","","","",""
"HDCEAt","hexadecenoate (n-C16:1) transport in via uniport","hdcea[e] --> hdcea[c]","Transport, Extracellular","","","",""
"HEMEOMOm","Heme O monooxygenase, mitochondrial","[m] : hemeO + nadh + o2 --> h2o + hemeA + nad","Porphyrin and Chlorophyll Metabolism","","( Arh1-m (YDR376W)  and Cox15-m (YER141W)  and Yah1-m (YPL252C)  )","( YDR376W  and  YER141W  and  YPL252C )","( Arh1-m and Cox15-m and Yah1-m )"
"HEMEOSm","Heme O synthase, mitochondrial","[m] : frdp + h2o + pheme --> hemeO + ppi","Porphyrin and Chlorophyll Metabolism","","Cox10-m (YPL172C) ","YPL172C","Cox10-m"
"HETZK","hydroxyethylthiazole kinase","[c] : 4mhetz + atp --> 4mpetz + adp + h","Thiamine Metabolism","2.7.1.50","Thi6 (YPL214C) ","YPL214C","Thi6"
"HEX1","hexokinase (D-glucose:ATP)","[c] : atp + glc-D --> adp + g6p + h","Glycolysis/Gluconeogenesis","2.7.1.1","( Hxk1 (YFR053C)  ) or ( Hxk2 (YGL253W)  ) or ( Glk1 (YCL040W)  )","( YFR053C  or  YGL253W  or  YCL040W )","( Hxk1 ) or ( Hxk2 ) or ( Glk1 )"
"HEX4","hexokinase (D-mannose:ATP)","[c] : atp + man --> adp + h + man6p","Glycolysis/Gluconeogenesis","2.7.1.7","( Hxk1 (YFR053C)  ) or ( Hxk2 (YGL253W)  )","( YFR053C  or  YGL253W )","( Hxk1 ) or ( Hxk2 )"
"HEX7","hexokinase (D-fructose:ATP)","[c] : atp + fru --> adp + f6p + h","Glycolysis/Gluconeogenesis","2.7.1.1","( Hxk1 (YFR053C)  ) or ( Hxk2 (YGL253W)  )","( YFR053C  or  YGL253W )","( Hxk1 ) or ( Hxk2 )"
"HEXCCOAtx","fatty acid intracellular transport","hexccoa[c] <==> hexccoa[x]","Transport, Peroxisomal","","","",""
"HEXDPtm","all-trans-hexaprenyl diphosphate transport, mitochondrial","hexdp[c] <==> hexdp[m]","Transport, Mitochondrial","","","",""
"HGNTOR","Homogentisate:oxygen 1,2-oxidoreductase (decyclizing)","[c] : hgentis + o2 --> 4mlacac + h","Tyrosine, Tryptophan, and Phenylalanine Metabolism","1.13.11.5","","",""
"HICITDm","homoisocitrate dehydrogenase","[m] : hicit + nad <==> h + nadh + oxag","Threonine and Lysine Metabolism","1.1.1.155","Lys12-m (YIL094C) ","YIL094C","Lys12-m"
"HISTD","histidinol dehydrogenase","[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh","Histidine Metabolism","1.1.1.23","His4 (YCL030C) ","YCL030C","His4"
"HISTP","histidinol-phosphatase","[c] : h2o + hisp --> histd + pi","Histidine Metabolism","3.1.3.15","His2 (YFR025C) ","YFR025C","His2"
"HISTRS","Histidyl-tRNA synthetase","[c] : atp + his-L + trnahis --> amp + histrna + ppi","tRNA charging","6.1.1.21","Hts1 (YPR033C) ","YPR033C","Hts1"
"HISTRSm","histidyl-tRNA synthetase, mitochondrial","[m] : atp + his-L + trnahis --> amp + histrna + ppi","tRNA charging","6.1.1.21","Hts1-m (YPR033C) ","YPR033C","Hts1-m"
"HISt2m","histidine mitochondrial transport via proton symport","h[m] + his-L[m] <==> h[c] + his-L[c]","Transport, Mitochondrial","","","",""
"HISt2r","L-histidine reversible transport via proton symport","h[e] + his-L[e] <==> h[c] + his-L[c]","Transport, Extracellular","","( Hip1 (YGR191W)  ) or ( Gap1 (YKR039W)  ) or ( Agp1 (YCL025C)  ) or ( Tat1 (YBR069C)  )","( YGR191W  or  YKR039W  or  YCL025C  or  YBR069C )","( Hip1 ) or ( Gap1 ) or ( Agp1 ) or ( Tat1 )"
"HISt6","L-histidine transport in via proton antiport (vacuolar)","h[v] + his-L[c] --> h[c] + his-L[v]","Transport, Vacuolar","","( Vba2-v (YBR293W)  ) or ( Vba1-v (YMR088C)  ) or ( Vba3-v (YCL069W)  )","( YBR293W  or  YMR088C  or  YCL069W )","( Vba2-v ) or ( Vba1-v ) or ( Vba3-v )"
"HKYNH","3-Hydroxy-L-kynurenine hydrolase","[c] : h2o + hLkynr --> 3hanthrn + ala-L","Tyrosine, Tryptophan, and Phenylalanine Metabolism","3.7.1.3","Bna5 (YLR231C) ","YLR231C","Bna5"
"HMBS","hydroxymethylbilane synthase","[c] : h2o + (4) ppbng --> hmbil + (4) nh4","Porphyrin and Chlorophyll Metabolism","4.3.1.8","Hem3 (YDL205C) ","YDL205C","Hem3"
"HMGCOAR","Hydroxymethylglutaryl CoA reductase","[c] : coa + mev-R + (2) nadp <==> (2) h + hmgcoa + (2) nadph","Sterol Metabolism","1.1.1.34","( Hmg2 (YLR450W)  ) or ( Hmg1 (YML075C)  )","( YLR450W  or  YML075C )","( Hmg2 ) or ( Hmg1 )"
"HMGCOAS","Hydroxymethylglutaryl CoA synthase","[c] : coa + h + hmgcoa <==> aacoa + accoa + h2o","Sterol Metabolism","4.1.3.5","Erg13 (YML126C) ","YML126C","Erg13"
"HMGCOASm","Hydroxymethylglutaryl CoA synthase, mitochondrial","[m] : coa + h + hmgcoa <==> aacoa + accoa + h2o","Sterol Metabolism","4.1.3.5","Erg13-m (YML126C) ","YML126C","Erg13-m"
"HMGCOAtm","Hydroxymethylglutaryl-CoA reversible mitochondrial transport","hmgcoa[c] <==> hmgcoa[m]","Transport, Mitochondrial","","","",""
"HMPK1","hydroxymethylpyrimidine kinase (ATP)","[c] : 4ahmmp + atp --> 4ampm + adp + h","Thiamine Metabolism","2.7.1.49","( Thi20 (YOL055C)  ) or ( Thi21 (YPL258C)  ) or ( Thi22 (YPR121W)  )","( YOL055C  or  YPL258C  or  YPR121W )","( Thi20 ) or ( Thi21 ) or ( Thi22 )"
"HPPKm","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase, mitochondrial","[m] : 2ahhmp + atp --> 2ahhmd + amp + h","Folate Metabolism","2.7.6.3","Fol1-m (YNL256W) ","YNL256W","Fol1-m"
"HPROa","L-hydroxyproline reductase (NAD)","[c] : 1p3h5c + (2) h + nadh --> 4hpro-LT + nad","Arginine and Proline Metabolism","1.5.1.2","Pro3 (YER023W) ","YER023W","Pro3"
"HPROb","L-hydroxyproline reductase (NADP)","[c] : 1p3h5c + (2) h + nadph --> 4hpro-LT + nadp","Arginine and Proline Metabolism","1.5.1.2","Pro3 (YER023W) ","YER023W","Pro3"
"HPROxm","L-hydroxyproline dehydrogenase (NAD), mitochondrial","[m] : 4hpro-LT + nad --> 1p3h5c + (2) h + nadh","Arginine and Proline Metabolism","1.5.1.12","Put2-m (YHR037W) ","YHR037W","Put2-m"
"HPROym","L-hydroxyproline dehydrogenase (NADP), mitochondrial","[m] : 4hpro-LT + nadp --> 1p3h5c + (2) h + nadph","Arginine and Proline Metabolism","1.5.1.12","Put2-m (YHR037W) ","YHR037W","Put2-m"
"HSDxi","homoserine dehydrogenase (NADH), irreversible","[c] : aspsa + h + nadh --> hom-L + nad","Glycine and Serine Metabolism","1.1.1.3","Hom6 (YJR139C) ","YJR139C","Hom6"
"HSDyi","homoserine dehydrogenase (NADP), irreversible","[c] : aspsa + h + nadph --> hom-L + nadp","Glycine and Serine Metabolism","1.1.1.3","Hom6 (YJR139C) ","YJR139C","Hom6"
"HSERTA","homoserine O-trans-acetylase","[c] : accoa + hom-L <==> achms + coa","Methionine Metabolism","2.3.1.31","Met2 (YNL277W) ","YNL277W","Met2"
"HSK","homoserine kinase","[c] : atp + hom-L --> adp + h + phom","Glycine and Serine Metabolism","2.7.1.39","Thr1 (YHR025W) ","YHR025W","Thr1"
"HSTPT","histidinol-phosphate transaminase","[c] : glu-L + imacp --> akg + hisp","Histidine Metabolism","2.6.1.9","His5 (YIL116W) ","YIL116W","His5"
"HXANt2r","hypoxanthine reversible transport via proton symport","h[e] + hxan[e] <==> h[c] + hxan[c]","Transport, Extracellular","","","",""
"HXPRT","hypoxanthine phosphoribosyltransferase (Hypoxanthine)","[c] : hxan + prpp --> imp + ppi","Nucleotide Salvage Pathway","2.4.2.8","Hpt1 (YDR399W) ","YDR399W","Hpt1"
"HYPOE","hypothetical enyme","[c] : h2o + pyam5p --> pi + pydam","Pyridoxine Metabolism","","","",""
"IAMACt","Isoamyl acetate transport (extracellular)","iamac[c] --> iamac[e]","Transport, Extracellular","","","",""
"IAMOHt","isoamyl alcohol transport (extracellular)","iamoh[c] <==> iamoh[e]","Transport, Extracellular","","","",""
"IAMOHtm","isoamyl alcohol transport (mitochondrial)","iamoh[c] <==> iamoh[m]","Transport, Mitochondrial","","","",""
"IBUTACt","Isobutyl acetate transport (extracellular)","ibutac[c] --> ibutac[e]","Transport, Extracellular","","","",""
"IBUTOHt","isobutyl alcohol transport (extracellular)","ibutoh[c] <==> ibutoh[e]","Transport, Extracellular","","","",""
"IBUTOHtm","isobutyl alcohol transport (mitochondrial)","ibutoh[c] <==> ibutoh[m]","Transport, Mitochondrial","","","",""
"ICDHxm","Isocitrate dehydrogenase (NAD+)","[m] : icit + nad --> akg + co2 + nadh","Citric Acid Cycle","1.1.1.41","Idh-m ( YNL037C and YOR136W ) ","( YNL037C  and  YOR136W )","Idh-m"
"ICDHy","isocitrate dehydrogenase (NADP)","[c] : icit + nadp --> akg + co2 + nadph","Citric Acid Cycle","1.1.1.42","Idp2 (YLR174W) ","YLR174W","Idp2"
"ICDHym","Isocitrate dehydrogenase (NADP+)","[m] : icit + nadp --> akg + co2 + nadph","Citric Acid Cycle","1.1.1.42","Idp1-m (YDL066W) ","YDL066W","Idp1-m"
"ICDHyp","Isocitrate dehydrogenase (NADP+)","[x] : icit + nadp --> akg + co2 + nadph","Citric Acid Cycle","1.1.1.42","Idp3-p (YNL009W) ","YNL009W","Idp3-p"
"ICL","Isocitrate lyase","[c] : icit --> glx + succ","Anaplerotic reactions","4.1.3.1","Icl1 (YER065C) ","YER065C","Icl1"
"ID3ACALDt","Indoleacetaldehyde transport (extracellular)","id3acald[c] <==> id3acald[e]","Transport, Extracellular","","","",""
"ID3ACALDtm","indole-3-acetaldehyde mitochondrial transport via diffusion","id3acald[c] <==> id3acald[m]","Transport, Mitochondrial","","","",""
"IG3PS","Imidazole-glycerol-3-phosphate synthase","[c] : gln-L + prlp --> aicar + eig3p + glu-L + h","Histidine Metabolism","","His7 (YBR248C) ","YBR248C","His7"
"IGPDH","imidazoleglycerol-phosphate dehydratase","[c] : eig3p --> h2o + imacp","Histidine Metabolism","4.2.1.19","His3 (YOR202W) ","YOR202W","His3"
"IGPS","indole-3-glycerol-phosphate synthase","[c] : 2cpr5p + h --> 3ig3p + co2 + h2o","Tyrosine, Tryptophan, and Phenylalanine Metabolism","4.1.1.48","Trp3 (YKL211C) ","YKL211C","Trp3"
"ILETA","isoleucine transaminase","[c] : akg + ile-L <==> 3mop + glu-L","Valine, Leucine, and Isoleucine Metabolism","2.6.1.42","Bat2 (YJR148W) ","YJR148W","Bat2"
"ILETAm","isoleucine transaminase, mitochondrial","[m] : akg + ile-L <==> 3mop + glu-L","Valine, Leucine, and Isoleucine Metabolism","2.6.1.42","Bat1-m (YHR208W) ","YHR208W","Bat1-m"
"ILETRS","Isoleucyl-tRNA synthetase","[c] : atp + ile-L + trnaile --> amp + iletrna + ppi","tRNA charging","6.1.1.5","Ils1 (YBL076C) ","YBL076C","Ils1"
"ILETRSm","isoleucyl-tRNA synthetase, mitochondrial","[m] : atp + ile-L + trnaile --> amp + iletrna + ppi","tRNA charging","6.1.1.5","Ism1-m (YPL040C) ","YPL040C","Ism1-m"
"ILEt2r","L-isoleucine reversible transport via proton symport","h[e] + ile-L[e] <==> h[c] + ile-L[c]","Transport, Extracellular","","( Tat1 (YBR069C)  ) or ( Gap1 (YKR039W)  ) or ( Agp1 (YCL025C)  ) or ( Bap2 (YBR068C)  ) or ( Bap3 (YDR046C)  )","( YBR069C  or  YKR039W  or  YCL025C  or  YBR068C  or  YDR046C )","( Tat1 ) or ( Gap1 ) or ( Agp1 ) or ( Bap2 ) or ( Bap3 )"
"ILEt6","L-isoleucine transport in via proton antiport (vacuolar)","h[v] + ile-L[c] --> h[c] + ile-L[v]","Transport, Vacuolar","","Avt1-v (YJR001W) ","YJR001W","Avt1-v"
"ILEt7","L-isoleucine transport out via proton symport, vacuolar","h[v] + ile-L[v] --> h[c] + ile-L[c]","Transport, Vacuolar","","( Avt3-v (YKL146W)  ) or ( Avt4-v (YNL101W)  )","( YKL146W  or  YNL101W )","( Avt3-v ) or ( Avt4-v )"
"ILEtmi","Isoleucine transport from mitochondria to cytosol","ile-L[m] --> ile-L[c]","Transport, Mitochondrial","","","",""
"IMPC","IMP cyclohydrolase","[c] : h2o + imp <==> fprica","Purine and Pyrimidine Biosynthesis","3.5.4.10","( Ade16 (YLR028C)  ) or ( Ade17 (YMR120C)  )","( YLR028C  or  YMR120C )","( Ade16 ) or ( Ade17 )"
"IMPD","IMP dehydrogenase","[c] : h2o + imp + nad --> h + nadh + xmp","Purine and Pyrimidine Biosynthesis","1.1.1.205","( Imd2 (YHR216W)  ) or ( Imd3 (YLR432W)  ) or ( Imd5 (YAR075W)  ) or ( Imd4 (YML056C)  ) or ( Imd1 (YAR073W)  )","( YHR216W  or  YLR432W  or  YAR075W  or  YML056C  or  YAR073W )","( Imd2 ) or ( Imd3 ) or ( Imd5 ) or ( Imd4 ) or ( Imd1 )"
"IND3ACtm","indole-3-acetate mitochondrial transport via diffusion","ind3ac[c] <==> ind3ac[m]","Transport, Mitochondrial","","","",""
"IND3ETHt","Tryptophol transport (extracellular","ind3eth[c] <==> ind3eth[e]","Transport, Extracellular","","","",""
"IND3ETHtm","Tryptophol transport (mitochondrial)","ind3eth[c] <==> ind3eth[m]","Transport, Mitochondrial","","","",""
"INDPYRD","Indole-3-pyruvate decarboxylase","[c] : h + indpyr <==> co2 + id3acald","Tyrosine, Tryptophan, and Phenylalanine Metabolism","4.1.1.74","( Pdc5 (YLR134W)  ) or ( Pdc1 (YLR044C)  ) or ( Pdc6 (YGR087C)  ) or ( Aro10 (YDR380W)  )","( YLR134W  or  YLR044C  or  YGR087C  or  YDR380W )","( Pdc5 ) or ( Pdc1 ) or ( Pdc6 ) or ( Aro10 )"
"INSK","insosine kinase","[c] : atp + ins --> adp + h + imp","Nucleotide Salvage Pathway","2.7.1.73","","",""
"INSTt2","inositol transport in via proton symport","h[e] + inost[e] --> h[c] + inost[c]","Transport, Extracellular","","( Itr1 (YDR497C)  ) or ( Itr2 (YOL103W)  )","( YDR497C  or  YOL103W )","( Itr1 ) or ( Itr2 )"
"INSt2","inosine transport in via proton symport","h[e] + ins[e] --> h[c] + ins[c]","Transport, Extracellular","","","",""
"IPC124PLC_SC","inositol phosphorylceramide, ceramide-1 (24C) phospholipase C","[c] : h2o + (0.01) ipc124_SC --> cer1_24 + h + mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"IPC126PLC_SC","inositol phosphorylceramide, ceramide-1 (26C) phospholipase C","[c] : h2o + (0.01) ipc126_SC --> cer1_26 + h + mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"IPC224PLC_SC","inositol phosphorylceramide, ceramide-2 (24C) phospholipase C","[c] : h2o + (0.01) ipc224_SC --> cer2_24 + h + mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"IPC226PLC_SC","inositol phosphorylceramide, ceramide-2 (26C) phospholipase C","[c] : h2o + (0.01) ipc226_SC --> cer2_26 + h + mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"IPC324PLC_SC","inositol phosphorylceramide, ceramide-3 (24C) phospholipase C","[c] : h2o + (0.01) ipc324_SC --> cer3_24 + h + mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"IPC326PLC_SC","inositol phosphorylceramide, ceramide-3 (26C) phospholipase C","[c] : h2o + (0.01) ipc326_SC --> cer3_26 + h + mi1p-D","Sphingolipid Metabolism","","Isc1 (YER019W) ","YER019W","Isc1"
"IPCS124_SC","Inositol phosphorylceramide synthase (ceramide-1, 24C), yeast-specific","[c] : cer1_24 + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) ipc124_SC","Sphingolipid Metabolism","","Aur1 (YKL004W) ","YKL004W","Aur1"
"IPCS126_SC","Inositol phosphorylceramide synthase (ceramide-1, 26C), yeast-specific","[c] : cer1_26 + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) ipc126_SC","Sphingolipid Metabolism","","Aur1 (YKL004W) ","YKL004W","Aur1"
"IPCS224_SC","Inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific","[c] : cer2_24 + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) ipc224_SC","Sphingolipid Metabolism","","Aur1 (YKL004W) ","YKL004W","Aur1"
"IPCS226_SC","Inositol phosphoryceramide synthase (ceramide-2, 26C), yeast-specific","[c] : cer2_26 + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) ipc226_SC","Sphingolipid Metabolism","","Aur1 (YKL004W) ","YKL004W","Aur1"
"IPCS324_SC","Inositol phosphorylceramide synthase (ceramide-3, 24C), yeast-specific","[c] : cer3_24 + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) ipc324_SC","Sphingolipid Metabolism","","Aur1 (YKL004W) ","YKL004W","Aur1"
"IPCS326_SC","Inositol phosphorylceramide synthase (ceramide-3, 26C), yeast-specific","[c] : cer3_26 + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) ipc326_SC","Sphingolipid Metabolism","","Aur1 (YKL004W) ","YKL004W","Aur1"
"IPDDI","isopentenyl-diphosphate D-isomerase","[c] : ipdp <==> dmpp","Sterol Metabolism","5.3.3.2","Idi1.1 (YPL117C) ","YPL117C","Idi1.1"
"IPDPtm","Isopentenyl diphosphate transport, mitochondrial","ipdp[c] <==> ipdp[m]","Transport, Mitochondrial","","","",""
"IPMD","3-isopropylmalate dehydrogenase","[c] : 3c2hmp + nad --> 3c4mop + h + nadh","Valine, Leucine, and Isoleucine Metabolism","1.1.1.85","Leu2 (YCL018W) ","YCL018W","Leu2"
"IPPMIa","3-isopropylmalate dehydratase","[c] : 3c2hmp <==> 2ippm + h2o","Valine, Leucine, and Isoleucine Metabolism","4.2.1.33","Leu1 (YGL009C) ","YGL009C","Leu1"
"IPPMIb","2-isopropylmalate hydratase","[c] : 2ippm + h2o <==> 3c3hmp","Valine, Leucine, and Isoleucine Metabolism","4.2.1.33","Leu1 (YGL009C) ","YGL009C","Leu1"
"IPPS","2-isopropylmalate synthase","[c] : 3mob + accoa + h2o --> 3c3hmp + coa + h","Valine, Leucine, and Isoleucine Metabolism","4.1.3.12","( Leu5 (YOR108W)  ) or ( Leu4 (YNL104C)  )","( YOR108W  or  YNL104C )","( Leu5 ) or ( Leu4 )"
"IPPSm","2-isopropylmalate synthase, mitochondrial","[m] : 3mob + accoa + h2o --> 3c3hmp + coa + h","Valine, Leucine, and Isoleucine Metabolism","4.1.3.12","Leu4-m (YNL104C) ","YNL104C","Leu4-m"
"ITCOALm","Itaconate--CoA ligase (ADP-forming), mitochondrial","[m] : atp + coa + itacon <==> adp + itaccoa + pi","Citric Acid Cycle","6.2.1.5","Lsc-m ( YGR244C and YOR142W ) ","( YGR244C  and  YOR142W )","Lsc-m"
"KARA1im","acetohydroxy acid isomeroreductase, mitochondrial","[m] : alac-S + h + nadph --> 23dhmb + nadp","Valine, Leucine, and Isoleucine Metabolism","1.1.1.86","Ilv5-m (YLR355C) ","YLR355C","Ilv5-m"
"KARA2im","ketol-acid reductoisomerase (2-Aceto-2-hydroxybutanoate), mitochondrial","[m] : 2ahbut + h + nadph --> 23dhmp + nadp","Valine, Leucine, and Isoleucine Metabolism","1.1.1.86","Ilv5-m (YLR355C) ","YLR355C","Ilv5-m"
"KYN","kynureninase","[c] : Lkynr + h2o --> ala-L + anth + h","Tyrosine, Tryptophan, and Phenylalanine Metabolism","3.7.1.3","Bna5 (YLR231C) ","YLR231C","Bna5"
"KYN3OX","kynurenine 3-monooxygenase","[c] : Lkynr + h + nadph + o2 --> h2o + hLkynr + nadp","Tyrosine, Tryptophan, and Phenylalanine Metabolism","1.14.13.9","Bna4 (YBL098W) ","YBL098W","Bna4"
"Kt2r","potassium reversible transport  via proton symport","h[e] + k[e] <==> h[c] + k[c]","Transport, Extracellular","","","",""
