GENE ID	GENE ALIASES	START	END	FUNCTIONAL ROLES	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
peg.2451	"yqhS,Bsu2445,NP_390327.1,gi|16079503,GeneID:938557"	2539031	2539031	3-dehydroquinate dehydratase II (EC 4.2.1.10)	Chorismate_Synthesis|Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)|Quinate_degradation	Amino Acids and Derivatives|Metabolism of Aromatic Compounds	rxn02213
peg.2452	"yqhR,Bsu2446,NP_390328.1,gi|16079504,GeneID:938555"	2539564	2539564				
peg.2453	"yqhQ,Bsu2447,NP_390329.1,gi|16079505,GeneID:938556"	2540327	2540327	"lipoprotein,"			
peg.2454	"yqhP,Bsu2448,NP_390330.1,gi|16079506,GeneID:938552"	2541323	2541323				
peg.2455	"yqhO,Bsu2449,NP_390331.1,gi|16079507,GeneID:938553"	2541715	2541715	lysophospholipase-like family protein			
peg.2456	"yqhN,Bsu2450,NP_390332.1,gi|16079508,GeneID:938554"	2542716	2542716	Mn-dependent transcriptional regulator MntR			
peg.2457	"yqhM,Bsu2451,NP_390333.1,gi|16079509,GeneID:938551"	2543244	2543244	Lipoate-protein ligase A	Dehydrogenase_complexes|Glycine_cleavage_system|Lipoic_acid_metabolism	"Carbohydrates|Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn07584|rxn07585
peg.2458	"yqhL,Bsu2452,NP_390334.1,gi|16079510,GeneID:938550"	2544271	2544271	Rhodanese-like domain protein	tRNA_modification_Archaea	RNA Metabolism	
peg.2459	"yqhK,Bsu2453,NP_390335.1,gi|16079511,GeneID:938549"	2544686	2544686	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	Glycine_and_Serine_Utilization|Glycine_cleavage_system|Lipoic_acid_metabolism|Photorespiration_(oxidative_C2_cycle)	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments|Carbohydrates"	rxn00908
peg.2460	"yqhJ,Bsu2454,NP_390336.1,gi|16079512,GeneID:938546"	2546145	2546145	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	Glycine_and_Serine_Utilization|Glycine_cleavage_system|Photorespiration_(oxidative_C2_cycle)	Amino Acids and Derivatives|Carbohydrates	rxn00908
peg.2461	"yqhI,Bsu2455,NP_390337.1,gi|16079513,GeneID:938547"	2547521	2547521	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	Glycine_and_Serine_Utilization|Glycine_cleavage_system|Photorespiration_(oxidative_C2_cycle)|YgfZ	"Amino Acids and Derivatives|Carbohydrates|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00908
peg.2462	"yqhH,Bsu2456,NP_390338.1,gi|16079514,GeneID:938548"	2549051	2549051	"Superfamily II DNA/RNA helicases, SNF2 family"			
peg.2463	"yqhG,Bsu2457,NP_390339.1,gi|16079515,GeneID:938541"	2550745	2550745	Conserved protein YqhG			
peg.2464	"sinI,Bsu2458,NP_390340.1,gi|16079516,GeneID:938543"	2551722	2551722	"SinI protein, antagonist of SinR"			
peg.2465	"sinR,Bsu2459,NP_390341.1,gi|16079517,GeneID:938544"	2551929	2551929	"SinR, regulator of post-exponential-phase responses genes (competence and sporulation)"			
peg.2466	"cotN,Bsu2460,NP_390342.1,gi|16079518,GeneID:938545"	2552357	2552357	"Stationary phase secreted protein TasA, major protein component of biofilm matrix"			
peg.2467	"sipW,Bsu2461,NP_390343.1,gi|16079519,GeneID:938542"	2553206	2553206	"Signal peptidase SipW (EC 3.4.21.89), required for TasA secretion"			
peg.2468	"yqxM,Bsu2462,NP_390344.1,gi|16079520,GeneID:938532"	2553762	2553762	"YqxM protein, required for localization of TasA to extracellular matrix"			
peg.2469	"yqzG,Bsu2463,NP_390345.1,gi|16079521,GeneID:938529"	2554795	2554795				
peg.2470	"yqzE,Bsu2464,NP_390346.1,gi|16079522,GeneID:938540"	2555104	2555104				
peg.2471	"comGG,Bsu2465,NP_390347.1,gi|16079523,GeneID:938538"	2555414	2555414	"Late competence protein ComGG, FIG028917"	Late_competence	DNA Metabolism	
peg.2472	"comGF,Bsu2466,NP_390348.1,gi|16079524,GeneID:938530"	2555789	2555789	"Late competence protein ComGF, access of DNA to ComEA, FIG012620"	Late_competence	DNA Metabolism	
peg.2473	"comGE,Bsu2467,NP_390349.1,gi|16079525,GeneID:938518"	2556198	2556198	"Late competence protein ComGE, FIG015513"	Late_competence	DNA Metabolism	
peg.2474	"comGD,Bsu2468,NP_390350.1,gi|16079526,GeneID:938531"	2556529	2556529	"Late competence protein ComGD, access of DNA to ComEA, FIG012777"	Late_competence	DNA Metabolism	
peg.2475	"comGC,Bsu2469,NP_390351.1,gi|16079527,GeneID:938526"	2556950	2556950	"Late competence protein ComGC, access of DNA to ComEA, FIG007487"	Late_competence	DNA Metabolism	
peg.2476	"comGB,Bsu2470,NP_390352.1,gi|16079528,GeneID:938527"	2557260	2557260	"Late competence protein ComGB, access of DNA to ComEA"	Gram_Positive_Competence|Late_competence|gram_plus_late_competence	DNA Metabolism	
peg.2477	"comGA,Bsu2471,NP_390353.1,gi|16079529,GeneID:938516"	2558284	2558284	"Late competence protein ComGA, access of DNA to ComEA"	Gram_Positive_Competence|Late_competence|gram_plus_late_competence	DNA Metabolism	
peg.2478	"yqxL,Bsu2472,NP_390354.1,gi|16079530,GeneID:938517"	2559766	2559766	Magnesium and cobalt transport protein corA			rxn05616|rxn10474
peg.2479	"yqhB,Bsu2473,NP_390355.1,gi|16079531,GeneID:938492"	2560862	2560862	Hemolysins and related proteins containing CBS domains			
peg.2480	"yqhA,Bsu2474,NP_390356.1,gi|16079532,GeneID:938513"	2562243	2562243	STAS domain protein			
peg.2481	"yqgZ,Bsu2475,NP_390357.1,gi|16079533,GeneID:938484"	2563303	2563303	Arsenate reductase family protein			rxn08171
peg.2482	"yqgY,Bsu2476,NP_390358.1,gi|16079534,GeneID:938215"	2563915	2563915				
peg.2483	"yqgX,Bsu2477,NP_390359.1,gi|16079535,GeneID:938218"	2564200	2564200	"Similar to Hydroxyacylglutathione hydrolase, but in an organism lacking glutathione biosynthesis"			rxn01274
peg.2484	"yqgW,Bsu2478,NP_390360.1,gi|16079536,GeneID:938217"	2564993	2564993				
peg.2485	"yqgV,Bsu2479,NP_390361.1,gi|16079537,GeneID:938212"	2565227	2565227	Ecm15p|ExtraCellular Mutant			
peg.2486	"yqgU,Bsu2480,NP_390362.1,gi|16079538,GeneID:938213"	2565514	2565514				
peg.2487	"yqgT,Bsu2481,NP_390363.1,gi|16079539,GeneID:938214"	2566637	2566637	Gamma-D-glutamyl-L-diamino acid endopeptidase I (EC 3.4.19.11)			
peg.2488	"yqgS,Bsu2482,NP_390364.1,gi|16079540,GeneID:938209"	2567850	2567850	Phosphoglycerol transferase			
peg.2489	"glcK,Bsu2483,NP_390365.1,gi|16079541,GeneID:938206"	2569882	2569882	Glucokinase (EC 2.7.1.2)	Entner-Doudoroff_Pathway|Glycolysis_and_Gluconeogenesis|Sucrose_Metabolism	Carbohydrates	rxn00216
peg.2490	"yqgQ,Bsu2484,NP_390366.1,gi|16079542,GeneID:938210"	2570858	2570858				
peg.2491	"yqgP,Bsu2485,NP_390367.1,gi|16079543,GeneID:938211"	2571183	2571183	"membrane protein, Rhomboid family"			
peg.2492	"yqgO,Bsu2486,NP_390368.1,gi|16079544,GeneID:938204"	2572796	2572796				
peg.2493	"yqgN,Bsu2487,NP_390369.1,gi|16079545,GeneID:938208"	2573036	2573036	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	5-FCL-like_protein|Folate_Biosynthesis|One-carbon_metabolism_by_tetrahydropterines|Serine-glyoxylate_cycle	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Carbohydrates"	rxn01653
peg.2494	"Bsu2487a,NP_570908.1,gi|18677781,GeneID:937959"	2573684	2573684	LSU ribosomal protein L33p	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.2495	"yqgM,Bsu2488,NP_390370.1,gi|16079546,GeneID:938207"	2573917	2573917	COG0438: Glycosyltransferase			
peg.2496	"yqgL,Bsu2489,NP_390371.1,gi|16079547,GeneID:938201"	2574993	2574993				
peg.2497	"yqzD,Bsu2490,NP_390372.1,gi|16079548,GeneID:938203"	2575643	2575643				
peg.2498	"yqzC,Bsu2491,NP_390373.1,gi|16079549,GeneID:938202"	2575993	2575993	YQZC protein			
peg.2499	"yqgK,Bsu2492,NP_390374.1,gi|16079550,GeneID:938205"	2576486	2576486	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)			rxn05145
peg.2500	"yqgJ,Bsu2493,NP_390375.1,gi|16079551,GeneID:938198"	2577279	2577279	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)			rxn05145
peg.2501	"yqgI,Bsu2494,NP_390376.1,gi|16079552,GeneID:938200"	2578109	2578109	"Putative periplasmic phosphate-binding protein PstS, Mycoplasma type"			rxn05145
peg.2502	"yqgH,Bsu2495,NP_390377.1,gi|16079553,GeneID:938184"	2578993	2578993	Phosphate transport system permease protein pstC (TC 3.A.1.7.1)			rxn05145
peg.2503	"yqgG,Bsu2496,NP_390378.1,gi|16079554,GeneID:938197"	2579991	2579991	"Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)"			rxn05145
peg.2504	"pbpA,Bsu2497,NP_390379.1,gi|16079555,GeneID:938199"	2581047	2581047	"Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)|Transpeptidase, Penicillin binding protein transpeptidase domain"	Bacterial_Cell_Division|Bacterial_Cytoskeleton	Cell Division and Cell Cycle	rxn10199
peg.2505	"yqgE,Bsu2498,NP_390380.1,gi|16079556,GeneID:938196"	2583311	2583311	"membrane protein, putative"			
peg.2506	"sodA,Bsu2499,NP_390381.1,gi|16079557,GeneID:938052"	2584637	2584637	Manganese superoxide dismutase (EC 1.15.1.1)	Bsub-Spore-Coat|Oxidative_stress|Protection_from_Reactive_Oxygen_Species	Cell Wall and Capsule|Stress Response	rxn00206
peg.2507	"yqgC,Bsu2500,NP_390382.1,gi|16079558,GeneID:938138"	2585496	2585496	probable membrane protein NMA1128			
peg.2508	"yqgB,Bsu2501,NP_390383.1,gi|16079559,GeneID:937983"	2586088	2586088				
peg.2509	"yqgA,Bsu2502,NP_390384.1,gi|16079560,GeneID:937963"	2587272	2587272				
peg.2510	"yqfZ,Bsu2503,NP_390385.1,gi|16079561,GeneID:938027"	2587977	2587977				
peg.2511	"yqfY,Bsu2504,NP_390386.1,gi|16079562,GeneID:937984"	2588399	2588399	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.4.3)	Isoprenoid_Biosynthesis|Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn06991
peg.2512	"yqfX,Bsu2505,NP_390387.1,gi|16079563,GeneID:937973"	2589558	2589558				
peg.2513	"yqfW,Bsu2506,NP_390388.1,gi|16079564,GeneID:937915"	2590080	2590080	HAD-superfamily hydrolase-like protein			
peg.2514	"yqfV,Bsu2507,NP_390389.1,gi|16079565,GeneID:937968"	2590704	2590704	Zinc uptake regulation protein ZUR	Oxidative_stress	Stress Response	
peg.2515	"yqfU,Bsu2508,NP_390390.1,gi|16079566,GeneID:937944"	2591279	2591279	"membrane protein, putative"			
peg.2516	"yqfT,Bsu2509,NP_390391.1,gi|16079567,GeneID:937909"	2592276	2592276				
peg.2517	"yqfS,Bsu2510,NP_390392.1,gi|16079568,GeneID:937922"	2592557	2592557	Endonuclease IV (EC 3.1.21.2)	"DNA_repair,_bacterial"	DNA Metabolism	
peg.2518	"yqfR,Bsu2511,NP_390393.1,gi|16079569,GeneID:937908"	2593460	2593460	ATP-dependent RNA helicase YqfR	"ATP-dependent_RNA_helicases,_bacterial"	RNA Metabolism	
peg.2519	"yqfQ,Bsu2512,NP_390394.1,gi|16079570,GeneID:937910"	2594945	2594945				
peg.2520	"yqfP,Bsu2513,NP_390395.1,gi|16079571,GeneID:937900"	2595811	2595811	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	Isoprenoid_Biosynthesis|Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis|polyprenyl_synthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn04113|rxn04996
peg.2521	"yqfO,Bsu2514,NP_390396.1,gi|16079572,GeneID:937901"	2596778	2596778				
peg.2522	"yqfN,Bsu2515,NP_390397.1,gi|16079573,GeneID:937898"	2597892	2597892	Putative tRNA-m1A22 methylase	tRNA_modification_Bacteria	RNA Metabolism	
peg.2523	"cccA,Bsu2516,NP_390398.1,gi|16079574,GeneID:937902"	2598799	2598799	Membrane-attached cytochrome c550			
peg.2524	"sigA,Bsu2517,NP_390399.1,gi|16079575,GeneID:937897"	2599490	2599490	RNA polymerase sigma factor RpoD	"Flagellum|Macromolecular_synthesis_operon|Transcription_factors_cyanobacterial_RpoD-like_sigma_factors|Transcription_initiation,_bacterial_sigma_factors"	Motility and Chemotaxis|Macromolecular Synthesis|RNA Metabolism	rxn05295
peg.2525	"dnaG,Bsu2518,NP_390400.1,gi|16079576,GeneID:937899"	2600804	2600804	DNA primase (EC 2.7.7.-)	DNA-replication|Macromolecular_synthesis_operon	DNA Metabolism|Macromolecular Synthesis	rxn05294
peg.2526	"yqxD,Bsu2519,NP_390401.1,gi|16079577,GeneID:937896"	2602649	2602649	probable P23 protein			
peg.2527	"yqfL,Bsu2520,NP_390402.1,gi|16079578,GeneID:937889"	2603397	2603397	"ATP/GTP-binding protein, SA1392 homolog"			
peg.2528	"yqzB,Bsu2521,NP_390403.1,gi|16079579,GeneID:937886"	2604235	2604235				
peg.2529	"glyS,Bsu2522,NP_390404.1,gi|16079580,GeneID:937887"	2605006	2605006	Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)	tRNA_aminoacylation	Protein Metabolism	rxn05296
peg.2530	"glyQ,Bsu2523,NP_390405.1,gi|16079581,GeneID:937888"	2607038	2607038	Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)	tRNA_aminoacylation	Protein Metabolism	rxn05296
peg.2531	"yqxN,Bsu2524,NP_390406.1,gi|16079582,GeneID:937881"	2608222	2608222	DNA recombination and repair protein RecO	"DNA_repair,_bacterial_RecFOR_pathway"	DNA Metabolism	
peg.2532	"bex,Bsu2525,NP_390407.1,gi|16079583,GeneID:937871"	2609317	2609317	GTP-binding protein Era	Bacterial_Cell_Division|Universal_GTPases|tRNA_modification_Archaea	Cell Division and Cell Cycle|Protein Metabolism|RNA Metabolism	
peg.2533	"cdd,Bsu2526,NP_390408.1,gi|16079584,GeneID:937885"	2610203	2610203	Cytidine deaminase (EC 3.5.4.5)	Murein_hydrolase_regulation_and_cell_death|pyrimidine_conversions|tRNA_modification_Bacteria	Cell Division and Cell Cycle|Nucleosides and Nucleotides|RNA Metabolism	rxn01800
peg.2534	"dgkA,Bsu2527,NP_390409.1,gi|16079585,GeneID:937873"	2610732	2610732	Diacylglycerol kinase (EC 2.7.1.107)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids and Lipids	rxn10243|rxn08297|rxn10241|rxn09065|rxn08299|rxn10255|rxn10240|rxn10253|rxn10239|rxn09063|rxn10258|rxn10242|rxn10256|rxn10257|rxn10238|rxn10254|rxn08295|rxn09067
peg.2535	"yqfG,Bsu2528,NP_390410.1,gi|16079586,GeneID:937869"	2611083	2611083	predicted metal-dependent hydrolase			
peg.2536	"yqfF,Bsu2529,NP_390411.1,gi|16079587,GeneID:937877"	2611557	2611557	"Membrane protein containing HD superfamily hydrolase domain, YQFF ortholog"			
peg.2537	"phoH,Bsu2530,NP_390412.1,gi|16079588,GeneID:937868"	2613771	2613771	"Phosphate starvation-inducible protein PhoH, predicted ATPase"			
peg.2538	"yqfD,Bsu2531,NP_390413.1,gi|16079589,GeneID:937867"	2614727	2614727	Stage IV sporulation protein			
peg.2539	"yqfC,Bsu2532,NP_390414.1,gi|16079590,GeneID:937870"	2615942	2615942				
peg.2540	"yqfB,Bsu2533,NP_390415.1,gi|16079591,GeneID:937864"	2616280	2616280				
peg.2541	"yqfA,Bsu2534,NP_390416.1,gi|16079592,GeneID:937865"	2616724	2616724	DUF1432 domain-containing protein			
peg.2542	"yqeZ,Bsu2535,NP_390417.1,gi|16079593,GeneID:937859"	2617741	2617741				
peg.2543	"yqeY,Bsu2536,NP_390418.1,gi|16079594,GeneID:937860"	2619185	2619185	GatB Yqey domain protein			
peg.2544	"rpsU,Bsu2537,NP_390419.1,gi|16079595,GeneID:937861"	2619646	2619646	SSU ribosomal protein S21p	Macromolecular_synthesis_operon|Ribosome_SSU_bacterial	Macromolecular Synthesis|Protein Metabolism	rxn05296
peg.2545	"yqeW,Bsu2538,NP_390420.1,gi|16079596,GeneID:937858"	2619983	2619983	Sodium-dependent phosphate transporter			rxn05313
peg.2546	"yqeV,Bsu2539,NP_390421.1,gi|16079597,GeneID:937857"	2620952	2620952	"MiaB family protein, possibly involved in tRNA or rRNA modification"			
peg.2547	"yqeU,Bsu2540,NP_390422.1,gi|16079598,GeneID:937856"	2622307	2622307	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	rRNA_modification_Bacteria	RNA Metabolism	
peg.2548	"yqeT,Bsu2541,NP_390423.1,gi|16079599,GeneID:937847"	2623100	2623100	Ribosomal protein L11 methyltransferase (EC 2.1.1.-)	Ribosome_biogenesis_bacterial	Protein Metabolism	
peg.2549	"dnaJ,Bsu2542,NP_390424.1,gi|16079600,GeneID:937848"	2624060	2624060	Chaperone protein DnaJ	Protein_chaperones	Protein Metabolism	
peg.2550	"dnaK,Bsu2543,NP_390425.1,gi|16079601,GeneID:937849"	2625378	2625378	Chaperone protein DnaK	Protein_chaperones	Protein Metabolism	
peg.2551	"grpE,Bsu2544,NP_390426.1,gi|16079602,GeneID:937846"	2627237	2627237	Heat shock protein GrpE	Protein_chaperones	Protein Metabolism	
peg.2552	"hrcA,Bsu2545,NP_390427.1,gi|16079603,GeneID:937843"	2627872	2627872	Heat-inducible transcription repressor HrcA	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
peg.2553	"hemN,Bsu2546,NP_390428.1,gi|16079604,GeneID:937845"	2629023	2629023	"Putative coproporphyrinogen III oxidase of BS HemN-type, oxygen-independent (EC 1.3.99.22), in heat shock gene cluster"	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn04704
peg.2554	"lepA,Bsu2547,NP_390429.1,gi|16079605,GeneID:937840"	2630176	2630176	Translation elongation factor LepA	Heme_and_Siroheme_Biosynthesis|Translation_factors_bacterial|Universal_GTPases	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Protein Metabolism"	
peg.2555	"yqxA,Bsu2548,NP_390430.1,gi|16079606,GeneID:937841"	2632148	2632148	alternate gene name: yqeP			
peg.2556	"spoIIP,Bsu2549,NP_390431.1,gi|16079607,GeneID:937842"	2632503	2632503	Stage II sporulation protein P			
peg.2557	"gpr,Bsu2550,NP_390432.1,gi|16079608,GeneID:937838"	2633771	2633771	Endopeptidase spore protease Gpr (EC 3.4.24.78)	Small_acid-soluble_spore_proteins	Dormancy and Sporulation	
peg.2558	"rpsT,Bsu2551,NP_390433.1,gi|16079609,GeneID:937837"	2635081	2635081	SSU ribosomal protein S20p	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
peg.2559	"yqeN,Bsu2552,NP_390434.1,gi|16079610,GeneID:937833"	2635362	2635362	DNA polymerase III delta subunit (EC 2.7.7.7)	DNA-replication	DNA Metabolism	rxn05294
peg.2560	"comEC,Bsu2553,NP_390435.1,gi|16079611,GeneID:937839"	2636809	2636809	"Late competence protein ComEC, DNA transport"	Gram_Positive_Competence|Late_competence|gram_plus_late_competence	DNA Metabolism	
peg.2561	"comEB,Bsu2554,NP_390436.1,gi|16079612,GeneID:937832"	2639143	2639143	Late competence protein ComEB|dCMP deaminase (EC 3.5.4.12)	Late_competence	DNA Metabolism	rxn01217
peg.2562	"comEA,Bsu2555,NP_390437.1,gi|16079613,GeneID:937827"	2639779	2639779	"Late competence protein ComEA, DNA receptor"	Gram_Positive_Competence|Late_competence|gram_plus_late_competence	DNA Metabolism	
peg.2563	"comER,Bsu2556,NP_390438.1,gi|16079614,GeneID:937834"	2640480	2640480	"Late competence protein ComER, proline oxidase (EC 1.5.1.2)"	Late_competence|Proline_Synthesis	DNA Metabolism|Amino Acids and Derivatives	
peg.2564	"yqeM,Bsu2557,NP_390439.1,gi|16079615,GeneID:937826"	2641367	2641367	FIG030922: Ubiquinone/menaquinone biosynthesis methyltransferase UbiE/ COQ5 (EC 2.1.1.-)			
peg.2565	"yqeL,Bsu2558,NP_390440.1,gi|16079616,GeneID:937819"	2642107	2642107	FIGfam135315: Iojap-related protein	Iojap|NAD_and_NADP_cofactor_biosynthesis_global|tRNA_modification_Bacteria	"Protein Metabolism|Cofactors, Vitamins, Prosthetic Groups, Pigments|RNA Metabolism"	
peg.2566	"yqeK,Bsu2559,NP_390441.1,gi|16079617,GeneID:937831"	2642481	2642481	"Hydrolase (HAD superfamily), YqeK"	NAD_and_NADP_cofactor_biosynthesis_global	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
peg.2567	"yqeJ,Bsu2560,NP_390442.1,gi|16079618,GeneID:937818"	2643031	2643031	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	Iojap|NAD_and_NADP_cofactor_biosynthesis_global|NAD_regulation	"Protein Metabolism|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00105|rxn02155
peg.2568	"yqeI,Bsu2561,NP_390443.1,gi|16079619,GeneID:937813"	2643612	2643612	FIG004454: RNA binding protein			
peg.2569	"aroD,Bsu2562,NP_390444.1,gi|16079620,GeneID:937820"	2643896	2643896	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	Chorismate_Synthesis|Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	Amino Acids and Derivatives	rxn01740
peg.2570	"yqeH,Bsu2563,NP_390445.1,gi|16079621,GeneID:937822"	2644756	2644756	"GTP-binding protein YqeH, possibly involved in replication initiation"	Universal_GTPases	Protein Metabolism	
peg.2571	"yqeG,Bsu2564,NP_390446.1,gi|16079622,GeneID:937815"	2645860	2645860	"FIG001553: Hydrolase, HAD subfamily IIIA"			
peg.2572	"yqeF,Bsu2565,NP_390447.1,gi|16079623,GeneID:937814"	2647186	2647186				
peg.2573	"yqeE,Bsu2566,NP_390448.1,gi|16079624,GeneID:937808"	2648169	2648169	N-acetylmuramoyl-L-alanine amidase cwlH precursor (EC 3.5.1.28)			rxn02875
peg.2574	"yqeD,Bsu2567,NP_390449.1,gi|16079625,GeneID:937812"	2649108	2649108	"membrane protein, putative"			
peg.2575	"yqeC,Bsu2568,NP_390450.1,gi|16079626,GeneID:937809"	2649753	2649753	"Uncharacterized protein yqeC, similar to 6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"			
peg.2576	"yqeB,Bsu2569,NP_390451.1,gi|16079627,GeneID:937802"	2650898	2650898				
peg.2577	"nucB,Bsu2570,NP_390452.1,gi|16079628,GeneID:937804"	2651656	2651656	nuclease			
peg.2578	"spoIVCB,Bsu2571,NP_390453.1,gi|16079629,GeneID:937803"	2652262	2652262	RNA polymerase sporulation specific sigma factor SigK	"Transcription_initiation,_bacterial_sigma_factors"	RNA Metabolism	
peg.2579	"spoIVCA,Bsu2572,NP_390454.1,gi|16079630,GeneID:937799"	2652640	2652640	required for the chromosomal rearrangement that creates the sigK gene by excision of the skin element between spoIVCB and spoIIIC genes (stage IV sporulation)			
peg.2580	"yqcM,Bsu2573,NP_390455.1,gi|16079631,GeneID:937801"	2654591	2654591	Arsenate reductase (EC 1.20.4.1)	Anaerobic_respiratory_reductases|Arsenic_resistance	Respiration|Virulence	rxn08171
peg.2581	"yqcL,Bsu2574,NP_390456.1,gi|16079632,GeneID:937800"	2655022	2655022	Arsenical-resistance protein ACR3	Arsenic_resistance	Virulence	rxn05507|rxn05506
peg.2582	"yqcK,Bsu2575,NP_390457.1,gi|16079633,GeneID:937794"	2656085	2656085	glyoxalase family protein			
peg.2583	"yqcJ,Bsu2576,NP_390458.1,gi|16079634,GeneID:937789"	2656586	2656586	Arsenical resistance operon repressor	Arsenic_resistance	Virulence	
peg.2584	"yqcI,Bsu2577,NP_390459.1,gi|16079635,GeneID:937795"	2657275	2657275				
peg.2585	"rapE,Bsu2578,NP_390460.1,gi|16079636,GeneID:937796"	2658483	2658483	response regulator aspartate phosphatase			
peg.2586	"phrE,Bsu2579,NP_390461.1,gi|16079637,GeneID:937784"	2659600	2659600	regulator of the activity of phosphatase RapE			
peg.2587	"yqzI,Bsu2580,NP_390462.1,gi|16079638,GeneID:937791"	2659844	2659844				
peg.2588	"yqcG,Bsu2581,NP_390463.1,gi|16079639,GeneID:937792"	2660372	2660372	YeeF			
peg.2589	"yqcF,Bsu2582,NP_390464.1,gi|16079640,GeneID:937785"	2661982	2661982				
peg.2590	"yqxJ,Bsu2583,NP_390465.1,gi|16079641,GeneID:937786"	2662821	2662821	alternate gene name: yqdF			
peg.2591	"yqxI,Bsu2584,NP_390466.1,gi|16079642,GeneID:937775"	2663199	2663199	alternate gene name: yqdE			
peg.2592	"cwlA,Bsu2585,NP_390467.1,gi|16079643,GeneID:937772"	2663843	2663843	cell wall hydrolase (minor autolysin)			
peg.2593	"yqxH,Bsu2586,NP_390468.1,gi|16079644,GeneID:937782"	2664706	2664706	Probable holin			
peg.2594	"yqxG,Bsu2587,NP_390469.1,gi|16079645,GeneID:937783"	2665173	2665173	Phage-like element PBSX protein xepA			
peg.2595	"yqcE,Bsu2588,NP_390470.1,gi|16079646,GeneID:937759"	2666154	2666154				
peg.2596	"yqcD,Bsu2589,NP_390471.1,gi|16079647,GeneID:937768"	2666315	2666315				
peg.2597	"yqcC,Bsu2590,NP_390472.1,gi|16079648,GeneID:937773"	2666660	2666660	Phage-like element PBSX protein xkdV			
peg.2598	"yqcB,Bsu2591,NP_390473.1,gi|16079649,GeneID:937762"	2667763	2667763				
peg.2599	"yqcA,Bsu2592,NP_390474.1,gi|16079650,GeneID:937763"	2668032	2668032	Phage-like element PBSX protein xkdU			
peg.2600	"yqbT,Bsu2593,NP_390475.1,gi|16079651,GeneID:937758"	2668594	2668594	Phage-like element PBSX protein xkdT			
peg.2601	"yqbS,Bsu2594,NP_390476.1,gi|16079652,GeneID:937757"	2669633	2669633	Phage-like element PBSX protein xkdS			
peg.2602	"yqbR,Bsu2595,NP_390477.1,gi|16079653,GeneID:937750"	2670071	2670071	Phage-like element PBSX protein xkdR			
peg.2603	"yqbQ,Bsu2596,NP_390478.1,gi|16079654,GeneID:937751"	2670331	2670331	Phage-like element PBSX protein xkdQ			
peg.2604	"yqbP,Bsu2597,NP_390479.1,gi|16079655,GeneID:937756"	2671324	2671324	Phage-like element PBSX protein xkdP			
peg.2605	"yqbO,Bsu2598,NP_390480.1,gi|16079656,GeneID:937747"	2671976	2671976	Tail protein			
peg.2606	"yqbN,Bsu2599,NP_390481.1,gi|16079657,GeneID:937749"	2676915	2676915	Phage-like element PBSX protein xkdN			
peg.2607	"yqdB,Bsu2600,NP_390482.1,gi|16079658,GeneID:937748"	2677510	2677510	alternate gene name: yqcR			
peg.2608	"yqbM,Bsu2601,NP_390483.1,gi|16079659,GeneID:937740"	2678412	2678412	Phage-like element PBSX protein xkdM			
