FUNCTIONAL ROLE	GENE ID	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
Chorismate mutase II (EC 5.4.99.5)	peg.2273	Chorismate_Synthesis|Phenylalanine_and_Tyrosine_Branches_from_Chorismate	Amino Acids and Derivatives	rxn01256
3-dehydroquinate synthase (EC 4.2.3.4)	peg.2274	Chorismate_Synthesis|Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)|Type_IV_pilus	Amino Acids and Derivatives|Virulence	rxn02212
Chorismate synthase (EC 4.2.3.5)	peg.2275	Chorismate_Synthesis|Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)|YgfZ	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn01255
Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)	peg.2276			
Nucleoside diphosphate kinase (EC 2.7.4.6)	peg.2277	Purine_conversions|pyrimidine_conversions	Nucleosides and Nucleotides	rxn00515|rxn01678|rxn00117|rxn00839|rxn00409|rxn01512|rxn01673|rxn01353|rxn00237
Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	peg.2278			rxn03891|rxn01486|rxn03892|rxn05287
Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)	peg.2280			rxn03891|rxn01486|rxn03892|rxn05287
Transcription attenuation protein mtrB	peg.2281			
GTP cyclohydrolase I (EC 3.5.4.16) type 1	peg.2282	Folate_Biosynthesis|Methanopterin_biosynthesis2|Pterin_biosynthesis|Pterin_metabolism|Pterin_metabolism_3|Queuosine-Archaeosine_Biosynthesis|tRNA_modification_Archaea_Henri|tRNA_modification_Bacteria	"Cofactors, Vitamins, Prosthetic Groups, Pigments|RNA Metabolism"	rxn00299
Stage IV sporulation protein A	peg.2284	Bsub-Spore-Coat	Cell Wall and Capsule	
ABC transporter periplasmic binding protein yphF	peg.2285			
ABC transporter ATP-binding protein yphE	peg.2286			
Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	peg.2287	Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization|Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Carbohydrates|Fatty Acids and Lipids	rxn00611|rxn00612
GTP-binding protein EngA	peg.2288	Universal_GTPases	Protein Metabolism	
"Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)"	peg.2291	Archaeal_lipids|Isoprenoid_Biosynthesis|Isoprenoid_Biosynthesis:_Interconversions	"Fatty Acids and Lipids|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00830
SSU ribosomal protein S1p	peg.2292	Ribosome_SSU_bacterial	Protein Metabolism	
Cytidylate kinase (EC 2.7.4.14)	peg.2293	pyrimidine_conversions	Nucleosides and Nucleotides	rxn00364|rxn01219
alternate gene name: jofB	peg.2294			
alternate gene name: jofA	peg.2295			
Spore germination protein YpeB	peg.2296			
"Spore cortex-lytic enzyme, lytic transglycosylase SleB"	peg.2297			
pyridine nucleotide-disulfide oxidoreductase family protein	peg.2299			
NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	peg.2300|peg.3785	"Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis"	Amino Acids and Derivatives	rxn00182
"ATP-dependent DNA helicase, RecQ family"	peg.2306	"DNA_repair,_bacterial_RecFOR_pathway"	DNA Metabolism	
alternate gene name: ypbA	peg.2308			
Substrate-specific component RibU of riboflavin ECF transporter	peg.2309	"Riboflavin,_FMN_and_FAD_metabolism"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05645
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	peg.2311	Glycine_and_Serine_Utilization|Pyridoxin_(Vitamin_B6)_Biosynthesis|Serine_Biosynthesis	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn01101
3-dehydroquinate dehydratase I (EC 4.2.1.10)	peg.2312	Chorismate_Synthesis|Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)|Quinate_degradation	Amino Acids and Derivatives|Metabolism of Aromatic Compounds	rxn02213
Sigma-X negative effector	peg.2313			
RNA polymerase sigma factor SigX	peg.2314			
Sensor protein resE (EC 2.7.3.-)	peg.2315			
Transcriptional regulatory protein ResD	peg.2316			
Cytochrome c-type biogenesis protein CcsA/ResC	peg.2317			
Cytochrome c-type biogenesis protein Ccs1/ResB	peg.2318			
Cytochrome c-type biogenesis protein ResA	peg.2319			
Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.-)	peg.2320	Two_cell_division_clusters_relating_to_chromosome_partitioning|rRNA_modification_Bacteria	Cell Division and Cell Cycle|RNA Metabolism	
Spore maturation protein B	peg.2321			
Spore maturation protein A	peg.2322			
"5' end uncertain, first prokaryotic start codon used in the ORF"	peg.2324			
Segregation and condensation protein B	peg.2325	CBSS-203122.12.peg.188|Two_cell_division_clusters_relating_to_chromosome_partitioning	DNA Metabolism|Cell Division and Cell Cycle	rxn05294
Segregation and condensation protein A	peg.2326	Two_cell_division_clusters_relating_to_chromosome_partitioning	Cell Division and Cell Cycle	rxn05294
DUF309 domain-containing protein	peg.2327			
riboflavin biosynthesis	peg.2328			rxn00048
"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9)"	peg.2329	"Riboflavin,_FMN_and_FAD_metabolism"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03080
"3,4-dihydroxy-2-butanone 4-phosphate synthase"	peg.2330	"Riboflavin,_FMN_and_FAD_metabolism"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00300|rxn05040
GTP cyclohydrolase II (EC 3.5.4.25)	peg.2330	"Riboflavin,_FMN_and_FAD_metabolism|YgfZ"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00300|rxn05040
Riboflavin synthase alpha chain (EC 2.5.1.9)	peg.2331	"Riboflavin,_FMN_and_FAD_metabolism"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00048
5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	peg.2332	"Riboflavin,_FMN_and_FAD_metabolism"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02474|rxn02475
Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	peg.2332	"Riboflavin,_FMN_and_FAD_metabolism"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02474|rxn02475
Predicted nucleic-acid-binding protein containing a Zn-ribbon domain	peg.2337			
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	peg.2341			
Extracellular protein	peg.2342			
Diaminopimelate decarboxylase (EC 4.1.1.20)	peg.2343	Lysine_Biosynthesis_DAP_Pathway	Amino Acids and Derivatives	rxn00313
Stage V sporulation protein AF (SpoVAF)	peg.2344			
Stage V sporulation protein AE (SpoVAE)	peg.2345			
Stage V sporulation protein AD (SpoVAD)	peg.2346			
Stage V sporulation protein AC (SpoVAC)	peg.2347			
Stage V sporulation protein AB (SpoVAB)	peg.2348			
Stage V sporulation protein AA (SpoVAA)	peg.2349			
RNA polymerase sporulation specific sigma factor SigF	peg.2350	"Transcription_initiation,_bacterial_sigma_factors"	RNA Metabolism	
Anti-sigma F factor (EC 2.7.11.1)	peg.2351			
Phosphopentomutase (EC 5.4.2.7)	peg.2355	Deoxyribose_and_Deoxynucleoside_Catabolism	Carbohydrates	rxn01986|rxn00778
Integrase/recombinase xerD	peg.2356			
Ferric uptake regulation protein FUR	peg.2357	Iron_acquisition_in_Vibrio|Oxidative_stress|Transport_of_Iron|YgfZ	"Virulence|Stress Response|Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Stage II sporulation protein M (SpoIIM)	peg.2358			
Malolactic enzyme (EC 1.-.-.-)	peg.2360	"Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP"	Carbohydrates	rxn00159
Malate Na(+) symporter	peg.2361|peg.3161	"Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP"	Carbohydrates	rxn05207
Aspartate ammonia-lyase (EC 4.3.1.1)	peg.2362	"Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis"	Amino Acids and Derivatives	rxn00347
negative regulation of the ansAB operon	peg.2364			
DNA helicase II (EC 3.6.1.-)	peg.2365			
ADP-ribose pyrophosphatase (EC 3.6.1.13)	peg.2366	NAD_and_NADP_cofactor_biosynthesis_global|Nudix_proteins_(nucleoside_triphosphate_hydrolases)	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Nucleosides and Nucleotides"	rxn00775
DNA polymerase IV (EC 2.7.7.7)	peg.2376|peg.2392	"DNA_repair,_bacterial"	DNA Metabolism	
Pantothenate kinase (EC 2.7.1.33)	peg.2381	Coenzyme_A_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn12510
D-serine dehydratase (EC 4.3.1.18)	peg.2382	Glycine_and_Serine_Utilization|Pyruvate_Alanine_Serine_Interconversions	Amino Acids and Derivatives|Carbohydrates	rxn00166
"oxidoreductase, short-chain dehydrogenase/reductase family"	peg.2383|peg.3303			
Zinc metallohydrolase	peg.2384			
RocB protein	peg.2386			
NADH-dependent flavin oxidoreductase	peg.2387			
"abhydrolase, alpha/beta hydrolase fold"	peg.2388|peg.2693			
Ribonuclease Z (EC 3.1.26.11)	peg.2389	tRNA_processing	RNA Metabolism	
Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	peg.2390	Entner-Doudoroff_Pathway|Fermentations:_Lactate|Formaldehyde_assimilation:_Ribulose_monophosphate_pathway|Glycolysis_and_Gluconeogenesis|Pentose_phosphate_pathway	Carbohydrates	rxn00604
"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"	peg.2391|peg.4014	D-gluconate_and_ketogluconates_metabolism|Entner-Doudoroff_Pathway|Formaldehyde_assimilation:_Ribulose_monophosphate_pathway|Pentose_phosphate_pathway	Carbohydrates	rxn01115
OxaI/YidC membrane insertion protein	peg.2393|peg.4110			
Vng1746c	peg.2394			
Peptidase T (EC 3.4.11.4)	peg.2395			rxn00350
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	peg.2396|peg.2923	Fatty_Acid_Biosynthesis_FASII|Na+_translocating_decarboxylases_and_related_biotin-dependent_enzymes	Fatty Acids and Lipids|Respiration	rxn01355|rxn06673
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	peg.2396|peg.2924	Fatty_Acid_Biosynthesis_FASII|Na+_translocating_decarboxylases_and_related_biotin-dependent_enzymes	Fatty Acids and Lipids|Respiration	rxn01355|rxn06673
Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	peg.2396	Serine-glyoxylate_cycle	Carbohydrates	rxn01355
Lactoylglutathione lyase and related lyases	peg.2397|peg.2696|peg.3271|peg.3842			rxn01834
"amino acid ABC transporter, amino acid-binding protein"	peg.2402			
multidrug-efflux transporter	peg.2405|peg.2661			
positive regulation of the bmrUR operon	peg.2406			
Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	peg.2407	Dehydrogenase_complexes|Isoleucine_degradation|Leucine_Degradation_and_HMG-CoA_Metabolism|Lipoic_acid_metabolism|Valine_degradation	"Carbohydrates|Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn01925|rxn06335|rxn06586
"Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)"	peg.2408	Dehydrogenase_complexes|Isoleucine_degradation|Leucine_Degradation_and_HMG-CoA_Metabolism|Valine_degradation	Carbohydrates|Amino Acids and Derivatives	rxn07431|rxn07430|rxn07435|rxn07434|rxn07432|rxn07433
"Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)"	peg.2409	Dehydrogenase_complexes|Isoleucine_degradation|Leucine_Degradation_and_HMG-CoA_Metabolism|Valine_degradation	Carbohydrates|Amino Acids and Derivatives	rxn07431|rxn07430|rxn07435|rxn07434|rxn07432|rxn07433
Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	peg.2410	Dehydrogenase_complexes|Isoleucine_degradation|Leucine_Degradation_and_HMG-CoA_Metabolism|Valine_degradation	Carbohydrates|Amino Acids and Derivatives	rxn01241
Butyrate kinase (EC 2.7.2.7)	peg.2411	Acetyl-CoA_fermentation_to_Butyrate|Isoleucine_degradation|Valine_degradation	Carbohydrates|Amino Acids and Derivatives	rxn01236
Leucine dehydrogenase (EC 1.4.1.9)	peg.2412	Branched-Chain_Amino_Acid_Biosynthesis|Dehydrogenase_complexes|Leucine_Degradation_and_HMG-CoA_Metabolism	Amino Acids and Derivatives|Carbohydrates	rxn01573|rxn00804|rxn01045
Phosphate butyryltransferase (EC 2.3.1.19)	peg.2413	Acetyl-CoA_fermentation_to_Butyrate|Isoleucine_degradation|Valine_degradation	Carbohydrates|Amino Acids and Derivatives	rxn00871
Transcriptional regulator BkdR of isoleucine and valine catabolism operon	peg.2414	Dehydrogenase_complexes|Isoleucine_degradation|Valine_degradation	Carbohydrates|Amino Acids and Derivatives	
Methylisocitrate lyase (EC 4.1.3.30)	peg.2416	Methylcitrate_cycle|Propionate-CoA_to_Succinate_Module	Carbohydrates	rxn00289
2-methylcitrate dehydratase (EC 4.2.1.79)	peg.2417	Methylcitrate_cycle|Propionate-CoA_to_Succinate_Module	Carbohydrates	rxn03060
2-methylcitrate synthase (EC 2.3.3.5)	peg.2418	Methylcitrate_cycle|Propionate-CoA_to_Succinate_Module	Carbohydrates	rxn00679
Butyryl-CoA dehydrogenase (EC 1.3.99.2)	peg.2419	Acetyl-CoA_fermentation_to_Butyrate|Isobutyryl-CoA_to_Propionyl-CoA_Module|Isoleucine_degradation|Valine_degradation	Carbohydrates|Amino Acids and Derivatives	rxn01923|rxn02268
3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	peg.2420|peg.3289	Acetyl-CoA_fermentation_to_Butyrate|Isoleucine_degradation|Valine_degradation|n-Phenylalkanoic_acid_degradation	Carbohydrates|Amino Acids and Derivatives|Metabolism of Aromatic Compounds	rxn01451|rxn02933|rxn03239|rxn03246|rxn04750|rxn03242|rxn03244|rxn01452|rxn03249|rxn06777
3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	peg.2420	Acetyl-CoA_fermentation_to_Butyrate|Anaerobic_benzoate_metabolism|Butanol_Biosynthesis	Carbohydrates|Metabolism of Aromatic Compounds	rxn01452
3-ketoacyl-CoA thiolase [isoleucine degradation] (EC 2.3.1.16)	peg.2421	Isobutyryl-CoA_to_Propionyl-CoA_Module|Isoleucine_degradation	Carbohydrates|Amino Acids and Derivatives	rxn03248|rxn06510|rxn00676|rxn02804|rxn00874|rxn03243|rxn00178|rxn02680
Glycerophosphoryl diester phosphodiesterase family protein	peg.2422			rxn01073|rxn08669|rxn00758
Probable NADH-dependent flavin oxidoreductase yqiG (EC 1.-.-.-)	peg.2425			
Stage 0 sporulation two-component response regulator (Spo0A)	peg.2426			
Stage IV sporulation protein B	peg.2427			
DNA repair protein RecN	peg.2428	"DNA-replication|DNA_repair,_bacterial"	DNA Metabolism	
"Arginine pathway regulatory protein ArgR, repressor of arg regulon"	peg.2429	Arginine_Biosynthesis_extended|Arginine_Deiminase_Pathway|Arginine_and_Ornithine_Degradation	Amino Acids and Derivatives	
RNA binding methyltransferase FtsJ like	peg.2430	rRNA_modification_Bacteria|tRNA_modification_Bacteria	RNA Metabolism	
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	peg.2431	Isoprenoid_Biosynthesis|Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis|Pyridoxin_(Vitamin_B6)_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03909
Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10)	peg.2432	Archaeal_lipids|Carotenoids|Isoprenoid_Biosynthesis|Isoprenoid_Biosynthesis:_Interconversions	"Fatty Acids and Lipids|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn01466|rxn01213
Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	peg.2433	"DNA_repair,_bacterial"	DNA Metabolism	
Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	peg.2434	"DNA_repair,_bacterial"	DNA Metabolism	
Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	peg.2435	One-carbon_metabolism_by_tetrahydropterines|Serine-glyoxylate_cycle	Carbohydrates	rxn00907|rxn00690|rxn01211
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	peg.2435	Folate_Biosynthesis|One-carbon_metabolism_by_tetrahydropterines|Serine-glyoxylate_cycle	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Carbohydrates"	rxn00907|rxn00690|rxn01211
Transcription termination protein NusB	peg.2436	Transcription_factors_bacterial	RNA Metabolism	
Alkaline shock protein	peg.2437			
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	peg.2438	Fatty_Acid_Biosynthesis_FASII	Fatty Acids and Lipids	rxn06672
Biotin carboxyl carrier protein of acetyl-CoA carboxylase	peg.2439	Fatty_Acid_Biosynthesis_FASII	Fatty Acids and Lipids	rxn06672
Stage III sporulation protein AH	peg.2440			
Stage III sporulation protein AG	peg.2441			
Stage III sporulation protein AF	peg.2442			
Stage III sporulation protein AE	peg.2443			
Stage III sporulation protein AD	peg.2444			
Stage III sporulation protein AC	peg.2445			
Stage III sporulation protein AB	peg.2446			
Stage III sporulation protein AA	peg.2447			
alternate gene name: yqgE	peg.2448			
Translation elongation factor P	peg.2449	Translation_elongation_factors_eukaryotic_and_archaeal|Translation_factors_bacterial	Protein Metabolism	
Translation initiation factor 5A	peg.2449			
"Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)"	peg.2450	Protein_degradation	Protein Metabolism	
3-dehydroquinate dehydratase II (EC 4.2.1.10)	peg.2451	Chorismate_Synthesis|Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)|Quinate_degradation	Amino Acids and Derivatives|Metabolism of Aromatic Compounds	rxn02213
"lipoprotein,"	peg.2453			
lysophospholipase-like family protein	peg.2455			
Mn-dependent transcriptional regulator MntR	peg.2456			
Rhodanese-like domain protein	peg.2458	tRNA_modification_Archaea	RNA Metabolism	
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	peg.2459	Glycine_and_Serine_Utilization|Glycine_cleavage_system|Lipoic_acid_metabolism|Photorespiration_(oxidative_C2_cycle)	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments|Carbohydrates"	rxn00908
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	peg.2460	Glycine_and_Serine_Utilization|Glycine_cleavage_system|Photorespiration_(oxidative_C2_cycle)	Amino Acids and Derivatives|Carbohydrates	rxn00908
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	peg.2461	Glycine_and_Serine_Utilization|Glycine_cleavage_system|Photorespiration_(oxidative_C2_cycle)|YgfZ	"Amino Acids and Derivatives|Carbohydrates|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00908
"Superfamily II DNA/RNA helicases, SNF2 family"	peg.2462			
Conserved protein YqhG	peg.2463			
"SinI protein, antagonist of SinR"	peg.2464			
"SinR, regulator of post-exponential-phase responses genes (competence and sporulation)"	peg.2465			
"Stationary phase secreted protein TasA, major protein component of biofilm matrix"	peg.2466			
"Signal peptidase SipW (EC 3.4.21.89), required for TasA secretion"	peg.2467			
"YqxM protein, required for localization of TasA to extracellular matrix"	peg.2468			
"Late competence protein ComGG, FIG028917"	peg.2471	Late_competence	DNA Metabolism	
"Late competence protein ComGF, access of DNA to ComEA, FIG012620"	peg.2472	Late_competence	DNA Metabolism	
"Late competence protein ComGE, FIG015513"	peg.2473	Late_competence	DNA Metabolism	
"Late competence protein ComGD, access of DNA to ComEA, FIG012777"	peg.2474	Late_competence	DNA Metabolism	
"Late competence protein ComGC, access of DNA to ComEA, FIG007487"	peg.2475	Late_competence	DNA Metabolism	
"Late competence protein ComGB, access of DNA to ComEA"	peg.2476	Gram_Positive_Competence|Late_competence|gram_plus_late_competence	DNA Metabolism	
"Late competence protein ComGA, access of DNA to ComEA"	peg.2477	Gram_Positive_Competence|Late_competence|gram_plus_late_competence	DNA Metabolism	
Magnesium and cobalt transport protein corA	peg.2478			rxn05616|rxn10474
STAS domain protein	peg.2480			
"Similar to Hydroxyacylglutathione hydrolase, but in an organism lacking glutathione biosynthesis"	peg.2483			rxn01274
Ecm15p	peg.2485			
ExtraCellular Mutant	peg.2485			
Gamma-D-glutamyl-L-diamino acid endopeptidase I (EC 3.4.19.11)	peg.2487			
Glucokinase (EC 2.7.1.2)	peg.2489	Entner-Doudoroff_Pathway|Glycolysis_and_Gluconeogenesis|Sucrose_Metabolism	Carbohydrates	rxn00216
"membrane protein, Rhomboid family"	peg.2491			
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	peg.2493	5-FCL-like_protein|Folate_Biosynthesis|One-carbon_metabolism_by_tetrahydropterines|Serine-glyoxylate_cycle	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Carbohydrates"	rxn01653
COG0438: Glycosyltransferase	peg.2495			
YQZC protein	peg.2498			
Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)	peg.2499|peg.2500			rxn05145
"Putative periplasmic phosphate-binding protein PstS, Mycoplasma type"	peg.2501			rxn05145
Phosphate transport system permease protein pstC (TC 3.A.1.7.1)	peg.2502			rxn05145
"Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)"	peg.2503			rxn05145
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	peg.2504	Bacterial_Cell_Division|Bacterial_Cytoskeleton	Cell Division and Cell Cycle	rxn10199
"Transpeptidase, Penicillin binding protein transpeptidase domain"	peg.2504			rxn10199
Manganese superoxide dismutase (EC 1.15.1.1)	peg.2506	Bsub-Spore-Coat|Oxidative_stress|Protection_from_Reactive_Oxygen_Species	Cell Wall and Capsule|Stress Response	rxn00206
probable membrane protein NMA1128	peg.2507			
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.4.3)	peg.2511	Isoprenoid_Biosynthesis|Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn06991
HAD-superfamily hydrolase-like protein	peg.2513			
Zinc uptake regulation protein ZUR	peg.2514	Oxidative_stress	Stress Response	
Endonuclease IV (EC 3.1.21.2)	peg.2517	"DNA_repair,_bacterial"	DNA Metabolism	
ATP-dependent RNA helicase YqfR	peg.2518	"ATP-dependent_RNA_helicases,_bacterial"	RNA Metabolism	
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	peg.2520	Isoprenoid_Biosynthesis|Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis|polyprenyl_synthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn04113|rxn04996
Putative tRNA-m1A22 methylase	peg.2522	tRNA_modification_Bacteria	RNA Metabolism	
Membrane-attached cytochrome c550	peg.2523			
RNA polymerase sigma factor RpoD	peg.2524	"Flagellum|Macromolecular_synthesis_operon|Transcription_factors_cyanobacterial_RpoD-like_sigma_factors|Transcription_initiation,_bacterial_sigma_factors"	Motility and Chemotaxis|Macromolecular Synthesis|RNA Metabolism	rxn05295
DNA primase (EC 2.7.7.-)	peg.2525	DNA-replication|Macromolecular_synthesis_operon	DNA Metabolism|Macromolecular Synthesis	rxn05294
probable P23 protein	peg.2526			
"ATP/GTP-binding protein, SA1392 homolog"	peg.2527			
Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)	peg.2529	tRNA_aminoacylation	Protein Metabolism	rxn05296
Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)	peg.2530	tRNA_aminoacylation	Protein Metabolism	rxn05296
DNA recombination and repair protein RecO	peg.2531	"DNA_repair,_bacterial_RecFOR_pathway"	DNA Metabolism	
GTP-binding protein Era	peg.2532	Bacterial_Cell_Division|Universal_GTPases|tRNA_modification_Archaea	Cell Division and Cell Cycle|Protein Metabolism|RNA Metabolism	
Cytidine deaminase (EC 3.5.4.5)	peg.2533	Murein_hydrolase_regulation_and_cell_death|pyrimidine_conversions|tRNA_modification_Bacteria	Cell Division and Cell Cycle|Nucleosides and Nucleotides|RNA Metabolism	rxn01800
Diacylglycerol kinase (EC 2.7.1.107)	peg.2534	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids and Lipids	rxn10243|rxn08297|rxn10241|rxn09065|rxn08299|rxn10255|rxn10240|rxn10253|rxn10239|rxn09063|rxn10258|rxn10242|rxn10256|rxn10257|rxn10238|rxn10254|rxn08295|rxn09067
predicted metal-dependent hydrolase	peg.2535			
"Membrane protein containing HD superfamily hydrolase domain, YQFF ortholog"	peg.2536			
"Phosphate starvation-inducible protein PhoH, predicted ATPase"	peg.2537			
Stage IV sporulation protein	peg.2538			
DUF1432 domain-containing protein	peg.2541			
GatB Yqey domain protein	peg.2543			
SSU ribosomal protein S21p	peg.2544	Macromolecular_synthesis_operon|Ribosome_SSU_bacterial	Macromolecular Synthesis|Protein Metabolism	rxn05296
Sodium-dependent phosphate transporter	peg.2545			rxn05313
"MiaB family protein, possibly involved in tRNA or rRNA modification"	peg.2546			
Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	peg.2547	rRNA_modification_Bacteria	RNA Metabolism	
Ribosomal protein L11 methyltransferase (EC 2.1.1.-)	peg.2548	Ribosome_biogenesis_bacterial	Protein Metabolism	
Chaperone protein DnaJ	peg.2549	Protein_chaperones	Protein Metabolism	
Chaperone protein DnaK	peg.2550	Protein_chaperones	Protein Metabolism	
Heat shock protein GrpE	peg.2551	Protein_chaperones	Protein Metabolism	
Heat-inducible transcription repressor HrcA	peg.2552	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
"Putative coproporphyrinogen III oxidase of BS HemN-type, oxygen-independent (EC 1.3.99.22), in heat shock gene cluster"	peg.2553	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn04704
Translation elongation factor LepA	peg.2554	Heme_and_Siroheme_Biosynthesis|Translation_factors_bacterial|Universal_GTPases	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Protein Metabolism"	
alternate gene name: yqeP	peg.2555			
Stage II sporulation protein P	peg.2556			
Endopeptidase spore protease Gpr (EC 3.4.24.78)	peg.2557	Small_acid-soluble_spore_proteins	Dormancy and Sporulation	
SSU ribosomal protein S20p	peg.2558	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
DNA polymerase III delta subunit (EC 2.7.7.7)	peg.2559	DNA-replication	DNA Metabolism	rxn05294
"Late competence protein ComEC, DNA transport"	peg.2560	Gram_Positive_Competence|Late_competence|gram_plus_late_competence	DNA Metabolism	
Late competence protein ComEB	peg.2561	Late_competence	DNA Metabolism	rxn01217
dCMP deaminase (EC 3.5.4.12)	peg.2561			rxn01217
"Late competence protein ComEA, DNA receptor"	peg.2562	Gram_Positive_Competence|Late_competence|gram_plus_late_competence	DNA Metabolism	
"Late competence protein ComER, proline oxidase (EC 1.5.1.2)"	peg.2563	Late_competence|Proline_Synthesis	DNA Metabolism|Amino Acids and Derivatives	
